               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.024219,            0.027986,           0.0013853,             0.79162,             0.78422,             0.79682,               0.321,            0.045435,            0.052953,            0.014738,             0.00604,             0.00604,             0.00604
                 122,            0.024382,            0.026387,           0.0015959,             0.83847,             0.78954,             0.81144,             0.33635,            0.044297,            0.053318,            0.012606,            0.006007,            0.006007,            0.006007
                 123,            0.024615,            0.024497,           0.0016003,             0.83183,             0.73921,             0.78741,             0.33011,            0.046186,            0.053844,            0.010427,            0.005974,            0.005974,            0.005974
                 124,            0.023323,            0.025334,           0.0013559,             0.79448,              0.7843,             0.78942,             0.33652,            0.044836,            0.053165,            0.011605,            0.005941,            0.005941,            0.005941
                 125,            0.023158,            0.024436,           0.0017899,             0.86619,             0.77082,             0.80783,             0.33343,            0.045094,            0.054874,            0.010149,            0.005908,            0.005908,            0.005908
                 126,            0.023624,             0.02662,           0.0019486,             0.83952,             0.76934,             0.79506,             0.32988,            0.045123,            0.054189,            0.011363,            0.005875,            0.005875,            0.005875
                 127,            0.023395,             0.02603,           0.0016173,             0.86728,             0.77004,             0.81627,             0.33156,            0.045156,            0.055036,            0.010054,            0.005842,            0.005842,            0.005842
                 128,            0.023202,            0.025529,           0.0016127,             0.82302,              0.7723,             0.80041,              0.3266,            0.045547,            0.054621,           0.0090322,            0.005809,            0.005809,            0.005809
                 129,            0.023561,            0.025606,            0.001506,             0.83416,             0.77211,             0.79858,             0.32836,             0.04555,            0.054286,           0.0098025,            0.005776,            0.005776,            0.005776
                 130,            0.023011,            0.026084,           0.0014602,             0.82723,              0.7926,              0.8087,             0.31973,            0.046547,             0.05336,            0.011572,            0.005743,            0.005743,            0.005743
                 131,            0.023092,            0.027508,            0.001646,             0.86909,             0.78029,             0.83356,             0.33636,            0.045696,              0.0533,            0.011096,             0.00571,             0.00571,             0.00571
                 132,            0.022463,            0.022775,           0.0013998,             0.87344,             0.77824,             0.81577,             0.32885,             0.04603,            0.053959,            0.011147,            0.005677,            0.005677,            0.005677
                 133,            0.023648,            0.025292,           0.0013658,              0.8367,              0.7747,             0.79183,             0.32466,            0.046714,            0.054888,            0.011531,            0.005644,            0.005644,            0.005644
                 134,            0.022614,            0.024522,           0.0012728,             0.83243,             0.79644,             0.80851,             0.33072,            0.045889,            0.053319,           0.0099141,            0.005611,            0.005611,            0.005611
